time_s,sport,exercise,camera_view,phase,pose_status,left_hip_angle_deg,right_hip_angle_deg,left_knee_angle_deg,right_knee_angle_deg,left_ankle_angle_deg,right_ankle_angle_deg,left_shoulder_angle_deg,right_shoulder_angle_deg,left_elbow_angle_deg,right_elbow_angle_deg,trunk_lean_angle_deg,athlete_depth_m,center_depth_m,barbell_detected,barbell_x_px,barbell_y_px,barbell_horizontal_displacement_px,barbell_vertical_displacement_px,barbell_vertical_velocity_px_s,barbell_horizontal_velocity_px_s,barbell_max_height_px,barbell_x_m,barbell_y_m,barbell_z_depth_m,barbell_horizontal_displacement_m,barbell_vertical_displacement_m,barbell_vertical_velocity_m_s,barbell_horizontal_velocity_m_s,barbell_max_height_m
4.665,Weightlifting,Clean & Jerk,Front View,Setup,Detected,70.43,89.04,152.17,156.06,130.55,143.16,106.31,90.96,176.07,179.59,14.04,3.165,8.483,False,,,,,,,,,,,,,,,
4.729,Weightlifting,Clean & Jerk,Front View,Setup,Detected,69.3,87.12,151.3,153.4,132.9,141.38,108.03,90.96,174.06,179.59,0.0,3.148,8.483,False,,,,,,,,,,,,,,,
4.791,Weightlifting,Clean & Jerk,Front View,Setup,Detected,68.63,83.42,150.5,153.81,132.78,138.88,106.46,95.07,175.63,179.59,18.43,3.198,8.603,False,,,,,,,,,,,,,,,
4.853,Weightlifting,Clean & Jerk,Front View,Setup,Detected,78.09,83.42,150.5,153.81,132.78,136.52,98.97,95.07,173.66,179.59,11.31,3.198,8.603,False,,,,,,,,,,,,,,,
4.915,Weightlifting,Clean & Jerk,Front View,Setup,Detected,87.06,83.42,150.62,153.81,131.08,136.52,89.63,95.07,173.76,179.59,8.13,3.132,8.144,False,,,,,,,,,,,,,,,
4.978,Weightlifting,Clean & Jerk,Front View,Setup,Detected,82.67,83.42,150.62,153.81,131.08,138.88,94.4,95.44,173.39,178.85,9.46,3.132,8.144,False,,,,,,,,,,,,,,,
5.04,Weightlifting,Clean & Jerk,Front View,Setup,Detected,76.73,87.53,149.98,153.81,131.08,141.38,99.69,90.96,174.66,179.22,0.0,3.132,8.144,False,,,,,,,,,,,,,,,
5.102,Weightlifting,Clean & Jerk,Front View,Setup,Detected,75.69,87.53,148.07,153.81,130.2,141.38,98.54,90.96,175.52,179.22,0.0,3.132,8.144,False,,,,,,,,,,,,,,,
5.165,Weightlifting,Clean & Jerk,Front View,Setup,Detected,74.67,87.53,146.02,153.81,131.0,144.03,98.54,90.96,175.52,179.22,0.0,3.165,8.254,False,,,,,,,,,,,,,,,
5.227,Weightlifting,Clean & Jerk,Front View,Setup,Detected,54.28,83.82,146.47,154.11,129.18,143.93,119.69,94.71,175.5,179.95,90.0,3.165,8.254,False,,,,,,,,,,,,,,,
5.291,Weightlifting,Clean & Jerk,Front View,Setup,Detected,52.87,82.71,148.63,152.18,129.92,143.1,120.31,94.71,178.97,179.95,116.57,3.198,8.367,False,,,,,,,,,,,,,,,
5.354,Weightlifting,Clean & Jerk,Front View,Setup,Detected,56.49,91.46,148.63,153.81,129.92,146.82,116.33,86.66,179.33,179.58,45.0,3.198,8.367,False,,,,,,,,,,,,,,,
5.415,Weightlifting,Clean & Jerk,Front View,Setup,Detected,61.21,95.2,150.55,153.81,130.83,146.82,113.54,82.93,177.15,179.23,26.57,3.165,8.254,False,,,,,,,,,,,,,,,
5.477,Weightlifting,Clean & Jerk,Front View,Setup,Detected,65.3,87.92,152.37,154.11,126.87,150.91,113.23,89.82,175.06,178.87,33.69,3.165,8.254,False,,,,,,,,,,,,,,,
5.541,Weightlifting,Clean & Jerk,Front View,Setup,Detected,70.11,88.86,152.11,153.81,125.15,153.95,107.65,89.63,175.15,180.0,14.04,3.198,8.144,False,,,,,,,,,,,,,,,
5.603,Weightlifting,Clean & Jerk,Front View,Setup,Detected,64.68,88.86,151.44,153.91,127.0,152.92,111.22,89.63,177.58,180.0,0.0,3.215,8.144,False,,,,,,,,,,,,,,,
5.665,Weightlifting,Clean & Jerk,Front View,Setup,Detected,64.04,89.26,149.79,154.21,125.98,152.83,111.22,89.27,176.34,179.27,0.0,3.132,7.932,False,,,,,,,,,,,,,,,
5.728,Weightlifting,Clean & Jerk,Front View,Setup,Detected,59.14,85.24,150.42,154.49,129.79,152.73,117.5,94.02,175.89,179.63,45.0,3.132,7.932,False,,,,,,,,,,,,,,,
5.789,Weightlifting,Clean & Jerk,Front View,Setup,Detected,55.01,80.66,149.88,154.49,133.43,152.73,120.74,98.97,176.39,180.0,180.0,3.215,8.367,False,,,,,,,,,,,,,,,
5.85,Weightlifting,Clean & Jerk,Front View,Setup,Detected,87.73,92.64,148.59,153.31,133.43,152.73,86.84,85.82,175.98,180.0,6.34,3.198,8.367,False,,,,,,,,,,,,,,,
5.912,Weightlifting,Clean & Jerk,Front View,Setup,Detected,95.9,99.85,148.12,152.88,133.43,149.66,77.85,77.8,176.34,179.63,4.4,3.148,8.254,False,,,,,,,,,,,,,,,
5.976,Weightlifting,Clean & Jerk,Front View,Setup,Detected,91.11,80.66,150.29,154.49,136.6,149.66,84.66,98.6,177.58,179.24,18.43,3.148,8.254,False,,,,,,,,,,,,,,,
6.035,Weightlifting,Clean & Jerk,Front View,Setup,Detected,86.42,78.86,150.56,153.4,139.87,149.66,90.95,99.31,175.44,179.24,30.96,3.198,8.603,False,,,,,,,,,,,,,,,
6.096,Weightlifting,Clean & Jerk,Front View,Setup,Detected,90.43,78.86,148.57,153.31,133.55,149.56,85.48,99.31,175.81,179.24,26.57,3.198,8.603,False,,,,,,,,,,,,,,,
6.159,Weightlifting,Clean & Jerk,Front View,Setup,Detected,92.16,78.46,148.45,153.01,128.82,149.66,84.47,99.31,174.66,179.24,33.69,3.181,8.852,False,,,,,,,,,,,,,,,
6.22,Weightlifting,Clean & Jerk,Front View,Setup,Detected,53.79,78.86,150.16,153.31,131.65,146.63,123.26,99.31,173.82,179.24,116.57,3.198,8.852,False,,,,,,,,,,,,,,,
6.283,Weightlifting,Clean & Jerk,Front View,Setup,Detected,47.77,77.79,149.79,151.39,131.51,144.28,126.79,99.31,175.81,179.24,180.0,3.148,8.982,False,,,,,,,,,,,,,,,
6.344,Weightlifting,Clean & Jerk,Front View,Setup,Detected,69.04,77.79,150.02,151.39,133.11,144.28,106.82,98.95,174.74,178.88,45.0,3.148,8.982,False,,,,,,,,,,,,,,,
6.409,Weightlifting,Clean & Jerk,Front View,Setup,Detected,83.88,77.79,149.61,151.39,133.11,144.28,90.86,98.95,175.45,178.88,21.8,3.215,8.483,False,,,,,,,,,,,,,,,
6.471,Weightlifting,Clean & Jerk,Front View,Setup,Detected,68.63,78.24,149.61,153.2,131.51,146.52,106.31,98.46,175.25,177.76,45.0,3.215,8.483,False,,,,,,,,,,,,,,,
6.533,Weightlifting,Clean & Jerk,Front View,Setup,Detected,68.63,77.85,149.47,152.91,131.37,146.63,106.7,98.46,174.86,177.76,45.0,3.165,8.254,False,,,,,,,,,,,,,,,
6.596,Weightlifting,Clean & Jerk,Front View,Setup,Detected,82.67,77.85,149.47,152.91,131.37,146.63,91.22,98.46,176.57,177.76,21.8,3.198,8.254,False,,,,,,,,,,,,,,,
6.66,Weightlifting,Clean & Jerk,Front View,Setup,Detected,88.61,77.85,148.57,152.91,128.52,146.63,84.95,98.46,178.16,177.76,26.57,3.198,8.726,False,,,,,,,,,,,,,,,
6.721,Weightlifting,Clean & Jerk,Front View,Setup,Detected,92.64,84.82,148.89,152.07,132.82,146.63,80.49,90.64,178.16,177.76,18.43,3.181,8.726,False,,,,,,,,,,,,,,,
6.783,Weightlifting,Clean & Jerk,Front View,Setup,Detected,96.81,83.7,148.89,150.1,132.82,145.78,76.01,90.64,178.47,177.76,16.7,3.148,8.254,False,,,,,,,,,,,,,,,
6.845,Weightlifting,Clean & Jerk,Front View,Setup,Detected,104.82,90.48,146.26,149.52,130.29,147.03,68.27,83.39,174.63,177.76,15.95,3.148,8.254,False,,,,,,,,,,,,,,,
6.907,Weightlifting,Clean & Jerk,Front View,Setup,Detected,108.15,93.2,146.26,150.66,128.46,147.03,64.6,81.81,174.97,177.76,11.31,3.165,8.852,False,,,,,,,,,,,,,,,
6.97,Weightlifting,Clean & Jerk,Front View,Setup,Detected,108.15,89.91,146.26,151.22,128.46,145.78,64.27,85.55,175.56,177.76,12.09,3.165,8.852,False,,,,,,,,,,,,,,,
7.03,Weightlifting,Clean & Jerk,Front View,Setup,Detected,104.82,90.34,146.26,150.69,130.29,142.03,67.93,85.55,175.23,177.76,12.99,3.132,8.367,False,,,,,,,,,,,,,,,
7.095,Weightlifting,Clean & Jerk,Front View,Setup,Detected,107.79,87.53,145.38,152.66,130.93,145.67,64.95,89.82,175.23,179.28,18.43,3.132,8.367,False,,,,,,,,,,,,,,,
7.159,Weightlifting,Clean & Jerk,Front View,Setup,Detected,107.79,91.05,145.38,152.25,130.93,145.67,64.95,87.02,175.23,178.76,17.1,3.116,8.603,False,,,,,,,,,,,,,,,
7.22,Weightlifting,Clean & Jerk,Front View,Setup,Detected,81.42,84.82,145.38,151.22,130.93,145.78,90.69,90.98,177.15,178.89,23.2,3.116,8.603,False,,,,,,,,,,,,,,,
7.283,Weightlifting,Clean & Jerk,Front View,Setup,Detected,66.64,84.82,145.86,151.22,130.93,145.78,106.7,90.98,176.39,178.89,36.87,3.132,8.254,False,,,,,,,,,,,,,,,
