time_s,sport,exercise,camera_view,phase,pose_status,left_hip_angle_deg,right_hip_angle_deg,left_knee_angle_deg,right_knee_angle_deg,left_ankle_angle_deg,right_ankle_angle_deg,left_shoulder_angle_deg,right_shoulder_angle_deg,left_elbow_angle_deg,right_elbow_angle_deg,trunk_lean_angle_deg,athlete_depth_m,center_depth_m
10.519,Weightlifting,Snatch,Side View,Not Detected,Detected,,41.06,,57.0,,113.43,,40.48,,146.61,57.83,3.802,7.376
10.595,Weightlifting,Snatch,Side View,Not Detected,Detected,,40.29,,57.55,,114.75,,39.29,,147.28,58.04,3.733,7.376
10.66,Weightlifting,Snatch,Side View,Not Detected,Detected,,40.29,,57.18,,111.13,,40.48,,151.85,58.37,3.733,7.376
10.734,Weightlifting,Snatch,Side View,Not Detected,Detected,,39.77,,57.19,,107.79,,41.24,,151.79,58.57,3.756,7.558
10.793,Weightlifting,Snatch,Side View,Not Detected,Detected,,39.77,,57.57,,113.88,,41.24,,132.92,58.04,3.756,7.558
10.859,Weightlifting,Snatch,Side View,Not Detected,Detected,,39.42,,55.85,,111.1,,41.47,,127.34,57.71,3.756,7.466
10.922,Weightlifting,Snatch,Side View,Not Detected,Detected,,40.82,,57.06,,113.37,,40.72,,133.44,57.5,3.756,7.466
10.989,Weightlifting,Snatch,Side View,Not Detected,Detected,,40.82,,57.19,,115.84,,40.72,,133.44,57.29,3.756,7.558
11.072,Weightlifting,Snatch,Side View,Not Detected,Detected,,39.84,,56.34,,108.76,,39.85,,122.12,56.63,3.779,7.558
11.145,Weightlifting,Snatch,Side View,Not Detected,Detected,,40.26,,55.78,,109.57,,40.95,,118.22,56.42,3.756,7.037
11.22,Weightlifting,Snatch,Side View,Not Detected,Detected,,48.98,,51.12,,111.08,,38.43,,129.06,55.65,3.756,7.037
11.297,Weightlifting,Snatch,Side View,Not Detected,Detected,,54.83,,51.48,,109.34,,38.9,,134.4,55.11,3.733,7.749
11.359,Weightlifting,Snatch,Side View,Not Detected,Detected,,53.61,,58.81,,113.63,,37.97,,144.96,55.11,3.733,7.749
11.423,Weightlifting,Snatch,Side View,Not Detected,Detected,,51.68,,59.7,,117.35,,37.8,,145.62,55.01,3.733,7.037
11.485,Weightlifting,Snatch,Side View,Not Detected,Detected,,50.29,,57.6,,118.31,,37.8,,144.26,54.78,3.733,7.037
11.548,Weightlifting,Snatch,Side View,Not Detected,Detected,,49.39,,56.7,,115.92,,37.8,,146.31,54.78,3.756,7.749
11.609,Weightlifting,Snatch,Side View,Not Detected,Detected,,48.71,,54.05,,116.95,,38.78,,150.01,54.46,3.756,7.749
11.687,Weightlifting,Snatch,Side View,Not Detected,Detected,,47.46,,54.59,,116.98,,38.6,,148.76,54.69,3.733,7.652
